"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"Y"
277.2	97.8	24.5	160.7	11.2	1061.7	782.5	3	30.45
167	187	195	185	7	898	636	28	23.89
251.4	0	118.3	188.5	6.4	1028.4	757.7	14	24.43
249.1	0	98.8	158.1	12.8	987.8	889	3	15.36
236	0	0	194	0	968	885	3	6.47
154	144	112	220	10	923	658	28	16.5
305	0	100	196	10	959	705	28	30.12
385	0	0	186	0	966	763	14	27.92
374	189.2	0	170.1	10.1	926.1	756.7	28	61.09
397	0	0	185.7	0	1040.6	734.3	7	25.45
236	0	0	194	0	968	885	14	12.84
212.6	0	100.4	159.4	10.4	1003.8	903.8	56	44.4
401.8	94.7	0	147.4	11.4	946.8	852.1	3	41.1
332.5	142.5	0	228	0	932	594	270	40.27
198.6	132.4	0	192	0	978.4	825.5	360	44.3
298.1	0	107	186.4	6.1	879	815.2	28	42.64
313.8	0	112.6	169.9	10.1	925.3	782.9	28	38.46
295	0	0	185	0	1069	769	7	14.8
237	92	71	247	6	853	695	28	28.63
333	0	0	192	0	931.2	842.6	90	41.68
439	177	0	186	11.1	884.9	707.9	3	39.3
287	121	94	188	9	904	696	28	41.94
250.2	166.8	0	203.5	0	977.6	694.1	28	36.96
277	0	0	191	0	968	856	360	33.7
295.7	0	95.6	171.5	8.9	955.1	859.2	28	39.94
298.2	0	107	209.7	11.1	879.6	744.2	28	31.88
323.7	282.8	0	183.8	10.3	942.7	659.9	28	74.7
336	0	0	182	3	986	817	28	44.86
376	0	0	214.6	0	1003.5	762.4	28	31.97
246.8	0	125.1	143.3	12	1086.8	800.9	28	52.5
307	0	0	193	0	968	812	90	32.92
355	19	97	145	12.3	967	871	28	55.45
401.8	94.7	0	147.4	11.4	946.8	852.1	56	73.7
155	183	0	193	9	1047	697	28	18.28
342	38	0	228	0	932	670	270	55.06
194.7	0	100.5	170.2	7.5	998	901.8	3	12.18
255	99	77	189	6	919	749	28	33.8
172.4	13.6	172.4	156.8	4.1	1006.3	856.4	28	33.69
323.7	282.8	0	183.8	10.3	942.7	659.9	3	28.3
251.4	0	118.3	188.5	5.8	1028.4	757.7	3	17.22
252.3	0	98.8	146.3	14.2	987.8	889	28	50.6
212	0	124.8	159	7.8	1085.4	799.5	100	47.82
212	141.3	0	203.5	0	973.4	750	90	39.7
277	0	0	191	0	968	856	14	21.26
277.2	97.8	24.5	160.7	11.2	1061.7	782.5	14	47.71
213.5	0	174.2	159.2	11.7	1043.6	771.9	28	44.64
379.5	151.2	0	153.9	15.9	1134.3	605	91	56.5
290.4	0	96.2	168.1	9.4	961.2	865	3	22.5
135	105	193	196	6	965	643	28	21.91
359	19	141	154	10.9	942	801	7	38.61
122.6	183.9	0	203.5	0	958.2	800.1	28	24.29
382.5	0	0	185.7	0	1047.8	739.3	28	37.44
146	230	0	202	3	827	872	28	33.06
385	0	0	186	0	966	763	3	14.7
222.4	0	96.7	189.3	4.5	967.1	870.3	100	40.71
362.6	189	0	164.9	11.6	944.7	755.8	3	35.3
156	243	0	180	11	1022	698	28	37.36
333	0	0	192	0	931.2	842.6	7	23.4
145	0	134	181	11	979	812	28	13.2
139.6	209.4	0	192	0	1047	806.9	360	44.7
230	0	118.3	195.5	4.6	1029.4	758.6	28	24.48
236	157	0	192	0	972.6	749.1	90	47.78
250.2	166.8	0	203.5	0	977.6	694.1	90	47.71
339.2	0	0	185.7	0	1069.2	754.3	28	31.9
233.8	0	94.6	197.9	4.6	947	852.2	100	34.56
385	0	0	186	0	966	763	1	6.27
500	0	0	200	0	1125	613	7	33.21
250	180	95	159	9.5	860	800	28	67.87
155.2	183.9	143.2	193.8	9.2	879.6	698.5	28	28.99
261.9	110.5	86.1	195.4	5	895.2	732.6	28	33.72
323.7	282.8	0	183.8	10.3	942.7	659.9	7	49.8
151	0	185	167	16	1074	678	28	13.46
144	0	175	158	18	943	844	28	15.42
166.8	250.2	0	203.5	0	975.6	692.6	3	6.9
288	192	0	192	0	932	717.8	28	38.8
500	0	0	200	0	1125	613	3	26.06
312.9	160.5	0	177.6	9.6	916.6	759.5	28	52.45
108.3	162.4	0	203.5	0	938.2	849	7	7.72
159.1	186.7	0	175.6	11.3	989.6	788.9	28	32.77
322	0	0	203	0	974	800	180	29.59
266	114	0	228	0	932	670	90	47.03
212	141.3	0	203.5	0	973.4	750	28	33
297.2	0	117.5	174.8	9.5	1022.8	753.5	56	51.96
401.8	94.7	0	147.4	11.4	946.8	852.1	7	54.1
310	0	0	192	0	1012	830	28	27.83
203.5	305.3	0	203.5	0	963.4	630	7	19.54
380	0	0	228	0	932	670	180	53.1
218.9	0	124.1	158.5	11.3	1078.7	794.9	56	37.27
446	24	79	162	11.6	967	712	56	61.07
304	76	0	228	0	932	670	365	55.26
155	184	143	194	9	880	699	28	28.99
375	93.8	0	126.6	23.4	852.1	992.6	28	56.7
140	164	128	237	6	869	656	28	35.23
148.1	0	182.1	181.4	15	838.9	884.3	28	15.53
160	128	122	182	6.4	824	879	28	39.4
238.2	158.8	0	185.7	0	1040.6	734.3	28	26.91
166	260	0	183	13	859	827	28	37.91
213.7	98.1	24.5	181.7	6.9	1065.8	785.4	28	45.71
251.4	0	118.3	188.5	6.4	1028.4	757.7	3	13.12
350	0	0	186	0	1050	770	7	20.28
289	0	0	192	0	913.2	895.3	90	32.07
255	0	0	192	0	889.8	945	28	18.75
266	114	0	228	0	932	670	28	45.85
310	0	0	192	0	970	850	28	27.92
312.7	0	0	178.1	8	999.7	822.2	28	25.1
186.2	124.1	0	185.7	0	1083.4	764.3	7	8
172.4	13.6	172.4	156.8	4.1	1006.3	856.4	56	35.85
250	0	95.7	187.4	5.5	956.9	861.2	56	38.33
194.7	0	100.5	170.2	7.5	998	901.8	100	44.28
194.7	0	100.5	170.2	7.5	998	901.8	56	43.39
362.6	189	0	164.9	11.6	944.7	755.8	56	77.3
273	0	90	199	11	931	762	28	32.24
251.4	0	118.3	188.5	5.8	1028.4	757.7	56	36.97
249.1	0	98.8	158.1	12.8	987.8	889	14	28.68
116	173	0	192	0	909.8	891.9	90	31.02
355.9	0	141.6	193.3	11	801.4	778.4	28	40.87
246.8	0	125.1	143.3	12	1086.8	800.9	100	66.42
153.6	144.2	112.3	220.1	10.1	923.2	657.9	28	16.5
183.9	122.6	0	203.5	0	959.2	800	3	4.9
182	45.2	122	170.2	8.2	1059.4	780.7	3	7.32
266	114	0	228	0	932	670	180	48.7
170.3	155.5	0	185.7	0	1026.6	724.3	28	25.73
236	157	0	192	0	972.6	749.1	3	13.57
183.9	122.6	0	203.5	0	959.2	800	28	24.05
153	239	0	200	6	1002	684	28	26.86
342	38	0	228	0	932	670	90	50.46
475	0	0	228	0	932	594	180	42.62
296	0	106.7	221.4	10.5	819.2	778.4	28	31.42
165	0	143.6	163.8	0	1005.6	900.9	14	16.88
387	20	94	157	13.9	938	845	56	47.97
238.1	0	94.1	186.7	7	949.9	847	3	19.93
167	75.4	167	164	7.9	1007.3	770.1	28	41.41
500	0	0	200	0	1125	613	180	51.04
254	0	0	198	0	968	863	365	29.79
150	236.8	0	173.8	11.9	1069.3	674.8	28	37.43
376	0	0	214.6	0	1003.5	762.4	100	43.06
160	188	146	203	11	829	710	28	32.84
266.2	112.3	87.5	177.9	10.4	909.7	744.5	28	39.42
102	153	0	192	0	887	942	3	4.57
296	0	107	221	11	819	778	28	31.42
239.6	359.4	0	185.7	0	941.6	664.3	28	39.44
491	26	123	201	3.9	822	699	3	29.55
350	0	0	203	0	974	775	90	31.35
200	0	0	180	0	1125	845	7	7.84
157	214	152	200	9	819	704	28	33.05
233.8	0	94.6	197.9	4.6	947	852.2	3	10.38
339	0	0	197	0	968	781	3	13.22
203.5	135.7	0	185.7	0	1076.2	759.3	28	22.63
401.8	94.7	0	147.4	11.4	946.8	852.1	28	68.5
141.3	212	0	203.5	0	971.8	748.5	3	4.83
255.5	170.3	0	185.7	0	1026.6	724.3	7	17.24
325	0	0	184	0	1063	783	28	30.57
305.3	203.5	0	203.5	0	965.4	631	7	25.89
339	0	0	197	0	968	781	7	20.97
133	200	0	192	0	927.4	839.2	28	27.87
203.5	305.3	0	203.5	0	963.4	630	28	41.68
277	0	0	191	0	968	856	28	25.97
380	95	0	228	0	932	594	365	43.7
133	200	0	192	0	927.4	839.2	3	6.88
336.5	0	0	181.9	3.4	985.8	816.8	28	44.87
388.6	97.1	0	157.9	12.1	852.1	925.7	3	28.1
310	0	0	192	0	971	850.6	3	9.87
200	200	0	190	0	1145	660	28	49.25
322	149	0	186	8	951	709	28	52.42
287.3	120.5	93.9	187.6	9.2	904.4	695.9	28	43.8
275.1	0	121.4	159.5	9.9	1053.6	777.5	100	58.61
334	17.6	158	189	15.3	967	633	28	44.33
480	0	0	192	0	936	721	90	54.28
167	75.4	167	164	7.9	1007.3	770.1	14	32.9
305.3	203.5	0	203.5	0	965.4	631	3	14.14
491	26	123	201	3.9	822	699	28	57.92
337.9	189	0	174.9	9.5	944.7	755.8	3	24.1
250	0	95.7	187.4	5.5	956.9	861.2	100	42.35
277	117	91	191	7	946	666	28	43.57
284	119.7	0	168.3	7.2	970.4	794.2	28	40.93
250	0	95.7	187.4	5.5	956.9	861.2	28	29.22
167.4	129.9	128.6	175.5	7.8	1006.3	746.6	56	51.72
385	0	0	186	0	966	763	7	23.22
173.8	93.4	159.9	172.3	9.7	1007.2	746.6	3	15.82
213.8	98.1	24.5	181.7	6.7	1066	785.5	56	47.13
158.6	148.9	116	175.1	15	953.3	719.7	28	27.68
251.4	0	118.3	188.5	6.4	1028.4	757.7	56	36.64
218.9	0	124.1	158.5	11.3	1078.7	794.9	28	30.22
314	145.3	113.2	178.9	8	869.1	690.2	28	46.23
210.7	316.1	0	185.7	0	977	689.3	7	21.82
190.3	0	125.2	166.6	9.9	1079	798.9	100	33.56
178	129.8	118.6	179.9	3.6	1007.3	746.8	3	20.73
393	0	0	192	0	940	758	90	48.79
252	0	0	186	0	1111	784	7	11.47
540	0	0	162	2.5	1040	676	28	79.99
318.8	212.5	0	155.7	14.3	852.1	880.4	3	25.2
277	0	0	191	0	968	856	180	32.33
141.3	212	0	203.5	0	971.8	748.5	7	10.39
228	342.1	0	185.7	0	955.8	674.3	28	39.7
359	19	141	154	10.9	942	801	3	23.64
220.8	147.2	0	185.7	0	1055	744.3	28	25.75
355	19	97	145	13.1	967	871	28	44.03
252.3	0	98.8	146.3	14.2	987.8	889	14	42.29
237.5	237.5	0	228	0	932	594	90	33.12
200	133	0	192	0	965.4	806.2	28	30.44
276	116	90	180	9	870	768	28	44.28
165	0	143.6	163.8	0	1005.6	900.9	3	14.4
150.7	0	185.3	166.7	15.6	1074.5	678	28	13.46
389.9	189	0	145.9	22	944.7	755.8	91	82.6
252	0	0	185	0	1111	784	28	19.69
279.8	128.9	100.4	172.4	9.5	825.1	804.9	28	52.83
331	170	0	195	8	811	802	28	56.61
520	0	0	175	5.2	870	805	28	51.02
166.1	0	163.3	176.5	4.5	1058.6	780.1	14	25.48
304	76	0	228	0	932	670	270	54.38
157	236	0	192	0	935.4	781.2	7	16.89
382	0	0	185	0	1047	739	7	24
302	0	0	203	0	974	817	14	18.13
251.4	0	118.3	188.5	5.8	1028.4	757.7	28	29.65
218.2	54.6	123.8	140.8	11.9	1075.7	792.7	56	61.99
133	210	0	196	3	949	795	28	31.03
393	0	0	192	0	940.6	785.6	3	19.2
156	178	187	221	7	854	614	28	29.41
102	153	0	192	0	887	942	7	7.68
144	170	133	192	8	814	805	28	29.87
277.1	0	97.4	160.6	11.8	973.9	875.6	3	23.14
359	19	141	154	10.9	942	801	7	35.75
275.1	0	121.4	159.5	9.9	1053.6	777.5	14	38.77
212	0	124.8	159	7.8	1085.4	799.5	14	31.35
382	0	0	186	0	1111	784	7	11.47
310	142.8	0	167.9	10	914.3	804	28	45.3
190	190	0	228	0	932	670	28	40.86
190.3	0	125.2	161.9	9.9	1088.1	802.6	56	38.56
427.5	47.5	0	228	0	932	594	365	43.7
102	153	0	192	0	887	942	90	25.46
194.7	0	100.5	170.2	7.5	998	901.8	14	24.28
154.8	0	142.8	193.3	9.1	1047.4	696.7	28	12.46
238.1	0	94.1	186.7	7	949.9	847	100	44.3
297.2	0	117.5	174.8	9.5	1022.8	753.5	100	56.74
375	93.8	0	126.6	23.4	852.1	992.6	91	62.5
349	0	0	192	0	1047	806	3	14.99
168.9	42.2	124.3	158.3	10.8	1080.8	796.2	3	7.4
194.7	0	100.5	165.6	7.5	1006.4	905.9	14	24.99
162	190.1	148.1	178.8	18.8	838.1	741.4	28	33.76
424	22	132	168	8.9	822	750	56	74.36
228	342.1	0	185.7	0	955.8	674.3	7	21.92
238	0	0	185	0	1118	789	28	17.54
296	0	0	192	0	1085	765	28	21.65
160.2	188	146.4	203.2	11.3	828.7	709.7	28	35.31
213.7	98.1	24.5	181.7	6.9	1065.8	785.4	3	18
359	19	141	154	10.9	942	801	28	59.49
159	209	161	201	7	848	669	28	30.88
145.9	230.5	0	202.5	3.4	827	871.8	28	32.72
182	45.2	122	170.2	8.2	1059.4	780.7	100	48.67
325.6	166.4	0	174	8.9	881.6	790	28	61.24
132	207	161	179	5	867	736	28	33.3
153	102	0	192	0	888	943.1	3	4.78
277.2	97.8	24.5	160.7	11.2	1061.7	782.5	28	63.14
139.9	132.6	103.3	200.3	7.4	916	753.4	28	36.44
251.8	0	99.9	146.1	12.4	1006	899.8	14	33.36
281	0	0	186	0	1104	774	7	14.5
314	145	113	179	8	869	690	28	46.23
218.2	54.6	123.8	140.8	11.9	1075.7	792.7	28	55.51
149	139	109	193	6	892	780	28	23.69
194.7	0	100.5	170.2	7.5	998	901.8	28	37.27
349	0	0	192	0	1047	806	180	41.05
148	175	0	171	2	1000	828	28	26.92
380	95	0	228	0	932	594	7	32.82
387	20	94	157	14.3	938	845	3	22.75
387	20	94	157	14.3	938	845	56	56.34
147	115	89	202	9	860	829	28	19.99
190.3	0	125.2	161.9	9.9	1088.1	802.6	28	28.47
540	0	0	173	0	1125	613	90	69.66
299.8	0	119.8	211.5	9.9	878.2	727.6	28	23.84
349	0	0	192	0	1047	806	90	39.49
252.5	0	0	185.7	0	1111.6	784.3	28	19.77
149	118	92	183	7	953	780	28	23.52
260	101	78	171	10	936	763	28	49.77
172.4	13.6	172.4	156.8	4.1	1006.3	856.4	3	21.29
233.8	0	94.6	197.9	4.6	947	852.2	14	22.14
374	189.2	0	170.1	10.1	926.1	756.7	3	34.4
141.9	166.6	129.7	173.5	10.9	882.6	785.3	28	44.61
389.9	189	0	145.9	22	944.7	755.8	56	79.4
173.5	50.1	173.5	164.8	6.5	1006.2	793.5	3	23.08
272.8	105.1	81.8	209.7	9	904	679.7	28	37.17
173	116	0	192	0	946.8	856.8	3	6.94
297.8	137.2	106.9	201.3	6	878.4	655.3	28	53.52
254	0	0	198	0	968	863	3	9.31
143.6	0	174.9	158.4	17.9	942.7	844.5	28	15.42
246.8	0	125.1	143.3	12	1086.8	800.9	3	23.52
500	0	0	200	0	1125	613	14	36.94
362.6	189	0	164.9	11.6	944.7	755.8	91	79.3
277.2	97.8	24.5	160.7	11.2	1061.7	782.5	100	66.95
213.5	0	174.2	159.2	11.7	1043.6	771.9	14	29.59
198.6	132.4	0	192	0	978.4	825.5	7	14.64
374	189.2	0	170.1	10.1	926.1	756.7	56	63.4
277	116.8	91	190.6	7	946.5	665.6	28	43.58
491	26	123	210	3.9	882	699	56	59.59
145.4	0	178.9	201.7	7.8	824	868.7	28	10.54
220.8	147.2	0	185.7	0	1055	744.3	7	13.09
540	0	0	173	0	1125	613	3	41.64
331	0	0	192	0	978	825	7	16.26
310	0	0	192	0	970	850	7	14.99
143	169	143	191	8	967	643	28	29.72
236	0	0	194	0	968	885	28	18.42
157	236	0	192	0	935.4	781.2	90	43.38
214.9	53.8	121.9	155.6	9.6	1014.3	780.6	14	38.6
295.8	0	0	185.7	0	1091.4	769.3	28	25.22
295	0	0	185	0	1069	769	28	25.18
500	0	0	200	0	1125	613	270	55.16
272.8	181.9	0	185.7	0	1012.4	714.3	28	31.38
158.8	238.2	0	185.7	0	1040.6	734.3	28	21.07
238.1	0	94.1	186.7	7	949.9	847	28	30.23
284	15	141	179	5.5	842	801	56	44.52
375	93.8	0	126.6	23.4	852.1	992.6	3	29
531.3	0	0	141.8	28.2	852.1	893.7	56	58.8
168.9	42.2	124.3	158.3	10.8	1080.8	796.2	28	31.12
304.8	0	99.6	196	9.8	959.4	705.2	28	30.12
284	120	0	168	7	970	794	28	40.93
167.4	129.9	128.6	175.5	7.8	1006.3	746.6	3	14.94
251.8	0	99.9	146.1	12.4	1006	899.8	100	45.37
525	0	0	189	0	1125	613	28	55.94
304	140	0	214	6	895	722	28	33.42
359	19	141	154	10.9	942	801	28	62.94
321	0	128	182	11	870	780	28	37.26
255.5	170.3	0	185.7	0	1026.6	724.3	28	32.05
305.3	203.5	0	203.5	0	965.4	631	90	54.6
393	0	0	192	0	940.6	785.6	7	27.74
116	173	0	192	0	909.8	891.9	3	6.28
525	0	0	189	0	1125	613	7	42.42
446	24	79	162	11.6	967	712	56	56.14
184	86	190	213	6	923	623	28	22.93
213.8	98.1	24.5	181.7	6.7	1066	785.5	3	13.18
310	0	0	192	0	1012	830	3	11.85
116	173	0	192	0	909.8	891.9	7	10.09
153.1	145	113	178.5	8	1001.9	688.7	28	25.56
190.3	0	125.2	161.9	9.9	1088.1	802.6	14	22.72
213.5	0	174.2	154.6	11.7	1052.3	775.5	14	33.7
218.9	0	124.1	158.5	11.3	1078.7	794.9	3	15.34
151.8	178.1	138.7	167.5	18.3	944	694.6	28	36.35
475	118.8	0	181.1	8.9	852.1	781.5	91	74.19
446	24	79	162	11.6	967	712	56	55.25
182	45.2	122	170.2	8.2	1059.4	780.7	28	31.27
198.6	132.4	0	192	0	978.4	825.5	180	41.72
165	128.5	132.1	175.1	8.1	1005.8	746.6	100	55.02
229.7	0	118.2	195.2	6.1	1028.1	757.6	100	40.86
212.6	0	100.4	159.4	10.4	1003.8	903.8	14	25.37
173.5	50.1	173.5	164.8	6.5	1006.2	793.5	14	33.01
309.9	142.8	111.2	167.8	22.1	913.9	651.2	28	38.22
238	0	0	186	0	1119	789	28	17.54
318	0	126	210	6	861	737	28	40.06
145	0	179	202	8	824	869	28	10.54
307	0	0	193	0	968	812	28	27.53
332.5	142.5	0	228	0	932	594	365	41.05
379.5	151.2	0	153.9	15.9	1134.3	605	28	52.2
250	0	95.7	191.8	5.3	948.9	857.2	100	41.16
349	0	0	192	0	1056	809	28	33.61
194.7	0	100.5	165.6	7.5	1006.4	905.9	3	12.45
136	162	126	172	10	923	764	28	29.07
213.7	0	174.7	154.8	10.2	1053.5	776.4	100	50.08
213.7	98.1	24.5	181.7	6.9	1065.8	785.4	14	30.39
167	75.4	167	164	7.9	1007.3	770.1	100	56.81
250.2	166.8	0	203.5	0	977.6	694.1	3	9.73
439	177	0	186	11.1	884.9	707.9	28	66
231.8	0	121.6	174	6.7	1056.4	778.5	56	42.7
173	116	0	192	0	946.8	856.8	90	32.1
379.5	151.2	0	153.9	15.9	1134.3	605	7	47.1
149	117.6	91.7	182.9	7.1	953.4	780.3	28	23.52
310	0	0	192	0	970	850	360	38.11
164.6	0	150.4	181.6	11.7	1023.3	728.9	28	18.03
318.8	212.5	0	155.7	14.3	852.1	880.4	91	68.1
238.1	0	94.1	186.7	7	949.9	847	14	25.69
261	100	78	201	9	864	761	28	32.4
349	0	0	192	0	1056	809	90	40.66
424	22	132	168	8.9	822	750	28	72.1
525	0	0	189	0	1125	613	270	67.11
326	166	0	174	9	882	790	28	61.23
540	0	0	173	0	1125	613	180	71.62
238	0	0	186	0	1119	789	7	12.05
387	20	94	157	11.6	938	845	3	34.77
145.7	172.6	0	181.9	3.4	985.8	816.8	28	23.74
192	288	0	192	0	929.8	716.1	7	21.48
181.4	0	167	169.6	7.6	1055.6	777.8	100	45.37
190.3	0	125.2	166.6	9.9	1079	798.9	3	12.55
350	0	0	203	0	974	775	28	27.34
318.8	212.5	0	155.7	14.3	852.1	880.4	28	55.5
322	0	0	203	0	974	800	28	25.18
222.4	0	96.7	189.3	4.5	967.1	870.3	28	24.89
190.3	0	125.2	166.6	9.9	1079	798.9	56	31.72
332.5	142.5	0	228	0	932	594	90	37.72
313	145	0	178	8	1002	689	28	41.05
190.3	0	125.2	161.9	9.9	1088.1	802.6	100	40.39
251.4	0	118.3	188.5	5.8	1028.4	757.7	14	29.93
500	0	0	200	0	1125	613	90	47.22
132	206.5	160.9	178.9	5.5	866.9	735.6	28	33.31
213.8	98.1	24.5	181.7	6.7	1066	785.5	28	40.23
520	0	0	170	5.2	855	855	28	60.28
275	0	0	183	0	1088	808	28	24.5
296	0	0	186	0	1090	769	7	18.91
331	0	0	192	0	978	825	3	13.52
331	0	0	192	0	978	825	360	41.24
475	118.8	0	181.1	8.9	852.1	781.5	56	72.3
500	0	0	200	0	1125	613	28	44.09
446	24	79	162	11.6	967	712	3	23.35
313.3	262.2	0	175.5	8.6	1046.9	611.8	28	59.8
233.8	0	94.6	197.9	4.6	947	852.2	56	27.66
198.6	132.4	0	192	0	978.4	825.5	28	28.02
380	95	0	228	0	932	594	90	40.56
181.4	0	167	169.6	7.6	1055.6	777.8	14	21.6
322	0	116	196	10	818	813	28	31.18
181.4	0	167	169.6	7.6	1055.6	777.8	3	13.62
154	174	185	228	7	845	612	28	24.34
192	288	0	192	0	929.8	716.1	90	50.73
225	0	0	181	0	1113	833	28	17.34
331	0	0	192	0	1025	821	3	14.31
339	0	0	197	0	968	781	28	32.04
200	133	0	192	0	965.4	806.2	90	43.25
280	129	100	172	9	825	805	28	52.82
376	0	0	214.6	0	1003.5	762.4	14	25.62
380	0	0	228	0	932	670	270	53.3
381.4	0	0	185.7	0	1104.6	784.3	28	22.49
166.8	250.2	0	203.5	0	975.6	692.6	7	15.75
178	129.8	118.6	179.9	3.6	1007.3	746.8	14	34.24
286.3	200.9	0	144.7	11.2	1004.6	803.7	56	72.99
332.5	142.5	0	228	0	932	594	7	30.28
229.7	0	118.2	195.2	6.1	1028.1	757.6	3	13.36
237.5	237.5	0	228	0	932	594	365	39
397	17.2	158	167	20.8	967	633	28	55.65
165	0	143.6	163.8	0	1005.6	900.9	56	36.56
194.7	0	100.5	165.6	7.5	1006.4	905.9	28	25.72
212.6	0	100.4	159.4	10.4	1003.8	903.8	100	47.74
168	42.1	163.8	121.8	5.7	1058.7	780.1	14	17.82
446	24	79	162	10.3	967	712	56	54.77
475	118.8	0	181.1	8.9	852.1	781.5	3	37.8
491	26	123	210	3.9	882	699	3	25.61
141.3	212	0	203.5	0	971.8	748.5	90	39.66
350	0	0	186	0	1050	770	28	34.29
331	0	0	192	0	978	825	90	37.23
145	116	119	184	5.7	833	880	28	29.16
194.7	0	100.5	165.6	7.5	1006.4	905.9	100	37.34
313.3	262.2	0	175.5	8.6	1046.9	611.8	7	42.8
173.5	50.1	173.5	164.8	6.5	1006.2	793.5	100	56.06
425	106.3	0	153.5	16.5	852.1	887.1	56	64.3
165	128.5	132.1	175.1	8.1	1005.8	746.6	56	53.72
168	42.1	163.8	121.8	5.7	1058.7	780.1	3	7.75
238.1	0	94.1	186.7	7	949.9	847	56	39.59
236	157	0	192	0	972.6	749.1	7	20.42
236.9	91.7	71.5	246.9	6	852.9	695.4	28	28.63
255	0	0	192	0	889.8	945	90	21.86
200	0	0	180	0	1125	845	28	12.25
192	288	0	192	0	929.8	716.1	28	39.32
167.4	129.9	128.6	175.5	7.8	1006.3	746.6	14	31.81
491	26	123	201	3.9	822	699	7	37.92
212.5	0	100.4	159.3	8.7	1007.8	903.6	14	26.31
480	0	0	192	0	936.2	712.2	3	24.4
350	0	0	203	0	974	775	7	18.13
173.8	93.4	159.9	172.3	9.7	1007.2	746.6	14	29.55
153	102	0	192	0	888	943.1	7	8.37
288	192	0	192	0	932	717.8	7	23.52
249.1	0	98.8	158.1	12.8	987.8	889	28	30.85
500	0	0	151	9	1033	655	28	69.84
516	0	0	162	8.3	801	802	28	41.37
397	0	0	185	0	1040	734	28	39.09
296	0	0	192	0	1085	765	7	14.2
388.6	97.1	0	157.9	12.1	852.1	925.7	91	57.6
480	0	0	192	0	936.2	712.2	7	34.57
157	236	0	192	0	935.4	781.2	3	9.69
251.4	0	118.3	188.5	6.4	1028.4	757.7	28	32.66
152	178	139	168	18	944	695	28	36.35
212.5	0	100.4	159.3	8.7	1007.8	903.6	3	13.54
212.5	0	100.4	159.3	8.7	1007.8	903.6	56	42.55
382	0	0	186	0	1047	739	28	37.42
231.8	0	121.6	174	6.7	1056.4	778.5	100	45.84
275	180	120	162	10.4	830	765	28	76.24
439	177	0	186	11.1	884.9	707.9	56	71.7
214.9	53.8	121.9	155.6	9.6	1014.3	780.6	100	56.63
304	76	0	228	0	932	670	28	47.81
153	145	0	178	8	1000	822	28	19.01
142	167	130	174	11	883	785	28	44.61
214.9	53.8	121.9	155.6	9.6	1014.3	780.6	28	52.2
168.9	42.2	124.3	158.3	10.8	1080.8	796.2	56	39.15
387	20	94	157	13.9	938	845	3	25.51
